Дата проведения,Название выставки,Клуб-организатор
16-17 марта 2013г.,«МАГИЯ КОШЕК ЮБИЛЕЙНАЯ - 15»,Клуб Любителей Кошек «Аура Бест»;
16 марта 2013г.,«СИМБИРЦИТОВАЯ КОШКА»,"Фелинологический центр ""Богема"";"
16-17 марта 2013г.,«АЛИСА-БЕСТ»,"Клуб любителей кошек ""Алиса-Бест"";"
10 марта 2013г.,«МАРТОВСКИЙ БЛЮЗ»,Таун Кэтс;
9 марта 2013г.,«RUI CAT SHOW»,"ДОНЕЦКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""РОЗОВАЯ ПАНТЕРА"";"
9-10 марта 2013г.,«КУБОК ОДЕССЫ 2013»,"КЛК «Чеширский Кот», ДРПФЦ ""АЛИСА"";"
8-9 марта 2013г.,«КОШКА МАРТA»,МФЦ «Мега-Центр» ;
8-9 марта 2013г.,«АК БАРС»,"Межрегиональный фелинологический центр ""АК БАРС"";"
8-9 марта 2013г.,«КУБОК КОТ-ИНФО»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ФАУНА;
8-9 марта 2013г.,«СОЗВЕЗДИЕ СИБИРИ - 2013»,ФПЦ «ZOOSTAR»;
8-10 марта 2013г.,«ВЕСЕННИЙ МАРАФОН»,"Клуб любителей кошек ""ФелиСити"";"
3 марта 2013г.,«ДРУЖЕСКИЕ ВСТРЕЧИ»,КЛК «Топ Лайн» ;
3 марта 2013г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ УДИВИТЕЛЬНЫЕ КОШКИ»,Общественная организация Региональный кинолого-фелинологический центр «Гранд+»;
2-3 марта 2013г.,«КУБОК БЕЛОГО ГОРОДА»,Кошки Белогорья;
2-3 марта 2013г.,«КОТОМАРТИЦА-2013»,"КЛК ""Кошки.RU"";"
2-3 марта 2013г.,«ЮБИЛЕЙНАЯ»,КЛК Алиса-Бест Казань;
2-3 марта 2013г.,«КЭТСБУРГ-2013»,"ФЦ ""АЛИСА""(WCF); Cat Club CHATTE NOIR(CFA); Cat Club CRYSTAL(TICA); Cat Club SuperCats (ASC);"
2-3 марта 2013г.,"«ПЕРВЫЙ ЛУЧ СОЛНЦА, СЕЗОН-2»","клуб «ПАН КОЦКИЙ», ОООЛЖ  «ЛЕГЕНДА»;"
2-3 марта 2013г.,«LADIES AND CATS»,КЛК «БИСЕР;
2-3 марта 2013г.,«ВЕСЕННИЙ ВЕРНИСАЖ»,"ФПЦ ""КЭТТИ"";"
23-24 февраля 2013г.,«ЗИМНЯЯ  СКАЗКА 2013»,Клуб любителей кошек «ЭЛИТАКЭТ»;
23-24 февраля 2013г.,«КУБОК АМУРА»,"КЛК ""КОТАМУР-Р-Р"";"
23-24 февраля 2013г.,«ФРЕЯ»,"Общественная Фелинологическая Организация ""Фрея"";"
23-24 февраля 2013г.,«КОШАЧИЙ ДЕСАНТ»,"Клуб Любителей Кошек ""Funny Cat Club"" (ICU);"
23-24 февраля 2013г.,«ХРУСТАЛЬНАЯ КАПЕЛЬ»,Самарский клуб любителей кошек «Prima Felina»;
23 февраля 2013г.,«МОРОЗНОЕ СЕРЕБРО ФЕВРАЛЯ»,"АКЛК ""Котофей"";"
16-17 февраля 2013г.,"«ГЛАМУРРР, БОГЕМА, РОСКОШЬ...»","KICA Бишкек, Кыргызстан;"
16 февраля 2013г.,«ДОБРОКОТ»,"КЛК ""Йошкин КОТ"";"
16-17 февраля 2013г.,«TOP MIAU»,TOP MIAU;
16-17 февраля 2013г.,«ВЛЮБЛЕННЫЕ КОТЫ»,"АНО""Фауна+"";"
16-17 февраля 2013г.,«ФЕЛИНОЛОГ»,Ассоциация Фелинолог;
16-17 февраля 2013г.,«КЛК КЭТ»,"Клуб любителей кошек ""КЭТ"";"
16 февраля 2013г.,«КУБОК ЧЕРНОЗЕМЬЯ»,КЛК МРАМУР;
16 февраля 2013г.,«ТАМБОВСКИЙ КОТ ТЕБЕ ТОВАРИЩ!»,Клуб «Лидер»;
9-10 февраля 2013г.,«ВАЛЕНТИНКИ ДЛЯ ЗАВОДЧИКОВ»,"Донецкий ILCF КЛК ""ВЛАДМИНЕС"";"
9-10 февраля 2013г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,РФОО «Коргоруши»;
9-10 февраля 2013г.,«ЦАРЕВНА КОШКА»,КЛК Самарская Лука;
9-10 февраля 2013г.,«ИМПЕРАТОРСКИЙ РАУНД»,"Клуб любителей кошек ""Империя Кошек"";"
9-10 февраля 2013г.,«CATS&LOVE 2013»,Клуб любителей кошек «Олимпия К»;
2-3 февраля 2013г.,«ВОСКОВОЙ ЦВЕТОК»,"КЛК ""Waxflower"";"
2-3 февраля 2013г.,«КАРНАВАЛ-МЯУ 2013»,НОВОСИБИРСКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОМИР»;
2-3 февраля 2013г.,«SILVER JUBILEE SHOW»,ФелиСити;
26-27 января 2013г.,«БЕЛОСНЕЖНОЕ ЧУДО»,ЦЕНТР «АЛИСА» ;
26 января 2013г.,«FELINA-BELISSIMA - 5»,РОО ФЦ «Фелис» проводят;
26-27 января 2013г.,«АК БАРС & СОЗВЕЗДИЕ»,"Межрегиональный фелинологический центр ""АК БАРС"";"
26-27 января 2013г.,«ЗИМНИЕ УЗОРЫ»,Фелинологический племенной центр «Catland NN»;
26-27 января 2013г.,«КУБОК ФЕЛИНОЛОГИЧЕСКОЙ ФЕДЕРАЦИИ БАШКОРТОСТАНА»,"ФФРБ, Фаворит-Лайн;"
19-20 января 2013г.,«WINTER CAT’S SHOW»,Фелинологический Клуб «VERITAS-CATS»;
12 января 2013г.,«ПРАЗДНИК ПРОДОЛЖАЕТСЯ»,Best BY Cats - Первый TICA-клуб в Беларуси!;
12-13 января 2013г.,«РОЖДЕСТВЕНСКОЕ ШОУ»,"КЛК ""Превосходные кошки"" ВФЦ АСТРА ;"
12-13 января 2013г.,«ХРУСТАЛЬНАЯ БОГЕМА»,"Фелинологический центр ""Богема"";"
8 января 2013г.,«РОЖДЕСТВЕНСКОЕ ШОУ»,"КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""ФЕЛИСИТИ"";"
5 января 2013г.,«КУБОК ЧЕРНОЗЕМЬЯ 2013»,"Курский клуб любителей кошек ""Баст"";"
5-6 января 2013г.,«ГРАН-ПРИ СИБИРИ»,Королевская династия;
5-6 января 2013г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ В ОЛИМПИЙСКОМ СОЧИ»,"КЛК ""ДИАМАНТ-КРИСТАЛЛ"";"
5-6 января 2013г.,«РОЖДЕСТВЕНСКАЯ СКАЗКА»,Фелинологический центр «Модные кошки»;
4-5 января 2013г.,«АЛИСА-БЕСТ - КАЗАНЬ»,Клуб любителей кошек Алиса Бест Казань;
4-6 января 2013г.,«РОЖДЕСТВО В САМАРЕ»,Фелинологический центр «Самарис» ;
30 декабря 2012г.,«НОВОГОДНИЙ ФЕСТИВАЛЬ КОШЕК»,"Российский Союз Клубов Кошек   Московское объединение клубов кошек ""Созвездие"";"
23 декабря 2012г.,«НОВОГОДНЕЕ КОНФЕТТИ»,МЕГА-ЦЕНТР;
23 декабря 2012г.,«РОЖДЕСТВЕНСКОЕ ШОУ»,"Альянс ""SuperCats"";"
22 декабря 2012г.,«НОВОГОДНИЙ КОТ-САЛОН»,"Вологодский Фелинологический Центр ""Эдельвейс"" ;"
22 декабря 2012г.,«КУБОК ЗООТЕРРА 2012»,Воронежский клуб любителей кошек «ЛЮКС»;
22-23 декабря 2012г.,«РОЖДЕСТВЕНСКОЕ ШОУ КОШЕК КУБОК КАМЕННЫЙ ЦВЕТОК»,"РПФЦ Артемида, КЛК Элиткэт;"
22-23 декабря 2012г.,«НОВЫЙ ГОД В ЮЖНОМ»,клуб любителей кошек АК БАРС ;
22-23 декабря 2012г.,«НОВОГОДНЯЯ СКАЗКА ДЛЯ ДЕТЕЙ И ВЗРОСЛЫХ!»,"ФЦ ""Кузбасс Кот"";"
22-23 декабря 2012г.,«ЗИМНЯЯ СКАЗКА»,"Криворожский ФПЦ ""БАФФИ"";"
22 декабря 2012г.,«НОВОГОДНЕЕ ШОУ CFA»,Chatte Noir;
22-23 декабря 2012г.,«ФАУНА»,КЛК Фауна;
16 декабря 2012г.,«НОВОГОДНИЕ СКАЗКИ МУРЛЫКИ»,Фелинологический Центр «Сараби»;
16 декабря 2012г.,«НОВОГОДНИЙ КАРНАВАЛ»,Клуб «КОШАЧЬЕ ЦАРСТВО»;
15-16 декабря 2012г.,«В ГОСТЯХ У РОЖДЕСТВЕНСКОГО КОТА»,Клуб породистых кошек «Богема»;
15-16 декабря 2012г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ»,ЦЕНТР «АЛИСА»;
15-16 декабря 2012г.,«МУР-ПАТИ 2012»,"КЛК ""МурМяур"";"
15-16 декабря 2012г.,«В ГОСТЯХ У СНЕГУРОЧКИ»,КЛЖ Бон Ами;
15-16 декабря 2012г.,«ЛУЧШАЯ КОШКА БЕЛАРУСИ 2012»,"OO Белорусский Фелинологический Центр ""Фелита"";"
15-16 декабря 2012г.,«СНЕЖНЫЙ КРИСТАЛЛ 2012»,TICA Club CRYSTAL;
15-16 декабря 2012г.,«СНЕЖНОЕ ШОУ»,"Клуб любителей кошек ""ЭЛИТ"";"
15-16 декабря 2012г.,«НОВОГОДНЕЕ ШОУ КОШЕК»,ОМСКИЙ ГОРОДСКОЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «БАГИРА» Совместно с ассоциацией КЛК «Котофей»;
15-16 декабря 2012г.,«HAPPY KITTENS PLANET»,КЛК «HAPPY PLANET»;
15-16 декабря 2012г.,«ЗАМУРРЧАТЕЛЬНЫЙ КАРНАВАЛ»,Alpha Cat;
15-16 декабря 2012г.,«МЕЖДУНАРОДНЫЙ ЧЕМПИОНАТ «МASTER CAT»»,Фелинологический племенной клуб «Сузирья»;
8-9 декабря 2012г.,«ЗИМНЯЯ СКАЗКА»,Клуб Любителей Кошек «АРЕВИК»;
8-9 декабря 2012г.,«КУБОК БЕЛОГО ГОРОДА»,"Клуб Любителей Кошек "" КОШКИ БЕЛОГОРЬЯ "";"
8 декабря 2012г.,«НОВОГОДНИЙ  СЕРПАНТИН»,"Донецкий ILCF КЛК ""ВЛАДМИНЕС"";"
8-9 декабря 2012г.,«ЗИМУШКА- ЗИМА»,"Липецкая региональная общественная организация Клуб любителей кошек ""ВЕЛЕС"" ;"
8-9 декабря 2012г.,«МИСТЕРКОТ - 2012»,Межрегиональное объединение клубов любителей кошек «Валенсия»;
8-9 декабря 2012г.,«РЕГУЛ»,"КЛК ""Регул"";"
8-9 декабря 2012г.,«АЛИСА-БЕСТ»,"Клуб любителей кошек ""Алиса-Бест"";"
1-2 декабря 2012г.,«УРАЛЬСКИЙ ГЛАМУРР»,Abinyakin`s family;
1-2 декабря 2012г.,««СОДРУЖЕСТВО» - GRAND PRIX ROYAL CANIN 2012»,"«РосКош», «Bageera Cat Club»,«Кэт Стронг», ""Moscow Cat Fanciers ""  ,«Felidae»;"
1-2 декабря 2012г.,«BABY SALON ASIA 2012»,Фелинологический клуб «АЗИЯ» ;
24-25 ноября 2012г.,«ГОЛД ШАНС»,Клуб любителей кошек «Ерке Барыс»;
24-25 ноября 2012г.,«VII - VIII МЕЖДУНАРОДНЫЕ ЛИЦЕНЗИРОВАННЫЕ FIFE ВЫСТАВКИ»,Киевский фелинологический племенной центр Royal Feline;
24 ноября 2012г.,«MAGIC NUMBER FIVE»,"Клуб любителей кошек ""Магия кошек"";"
24-25 ноября 2012г.,«ЗВЕЗДА 2012»,"Всемирный Фелинологический Центр ""АСТРА"" ;"
24-25 ноября 2012г.,«SILVER JUBILEE»,"КЛК ""Котофей"";"
17-18 ноября 2012г.,«КУБОК ARDEN GRANGE»,"КЛК ""Кошки.RU"";"
17-18 ноября 2012г.,«АВГУСТЕЙШАЯ ОСОБА»,"КЛК ""АВГУСТИН"";"
17-18 ноября 2012г.,«AUTUMN CAT’S SHOW!»,Фелинологический Клуб «VERITAS-CATS»;
17-18 ноября 2012г.,«VIP- SHOW»,КЛК «БИСЕР»;
10-11 ноября 2012г.,«КОШКИ В СТРАНЕ ЧУДЕС»,КЛЖ  «АРГУС»;
10-11 ноября 2012г.,«FROM SYBERIA WITH LOVE»,"CHATTE NOIR Club (CFA),  Кемеровский клуб любителей кошек «Кошачий мир» (WCF);"
10-11 ноября 2012г.,«ВОСКОВОЙ ЦВЕТОК»,Wax Flower;
10-11 ноября 2012г.,«ОСЕННИЙ КАРНАВАЛ»,ФПЦ «САНТА»;
10-11 ноября 2012г.,«РЕГИНА»,Фелинологический племенной клуб «Регина»;
3-4 ноября 2012г.,«КАМЕЯ»,"клуб ""Камея"";"
3-4 ноября 2012г.,«ЗОЛОТАЯ КОШКА РОССИИ»,"ФЦ «АЛИСА», АЗМ «COONCAT»  и клуб «Золотые купола»;"
3-4 ноября 2012г.,«МОЙ ЛАСКОВЫЙ И НЕЖНЫЙ ЗВЕРЬ»,"Клуб любителей кошек ""Кэт"";"
3-4 ноября 2012г.,«МАГИЯ КОШЕК»,Клуб Любителей Кошек «АУРА БЕСТ»;
3-4 ноября 2012г.,«ГРАН-ПРИ ПОВОЛЖЬЯ»,Элитар-клуб ;
3-4 ноября 2012г.,«ЮГОРСКИЙ МЯУ-КОНРЕСС»,ЛегендыСевера ;
3-4 ноября 2012г.,«ВОСТОЧНОЕ КОТОПАТИ»,КЛК Cher ami;
3-4 ноября 2012г.,«ЧГООЛК КЭТ+ ЭЛИТАР КЛУБ »,"ЧГООЛК КЭТ, Элитар клуб ;"
27-28 октября 2012г.,«ОСЕННИЙ ВЕРНИСАЖ- 2012»,"Уральская Региональная Общественная Фелинологическая Организация ""Грация"";"
27 октября 2012г.,«КУБОК ЧЕМПИОНОВ PRO PLAN – 2012»,Нестле;
27-28 октября 2012г.,«ANNUAL BEST RUSSIAN CATS AWARDS»,Chatte Noir ;
27-28 октября 2012г.,«CATS  ФОРУМ -2012»,Зоомир;
27-28 октября 2012г.,«ДИКАЯ КОШКА»,"""ФелиСити"";"
27-28 октября 2012г.,«КУБОК ПОВОЛЖЬЯ - 2012»,Саратовский КЛК «Кошкин Дом» ;
27-28 октября 2012г.,«ОСЕННЯЯ»,Клуб Любителей Кошек “МАРКИЗА”;
21 октября 2012г.,«ЗОЛОТАЯ КОШКА»,Клуб любителей кошек «Ковчег»;
20 октября 2012г.,«БАЛ КОШЕК - ОСЕННИЙ ЛИСТОПАД»,"ПОО ""КОШАЧЬЕ ЦАРСТВО"";"
20-21 октября 2012г.,«КОТ С ТОБОЙ!»,"КЛК ""ФЦ ""Кузбасс Кот"";"
20-21 октября 2012г.,«ЦВЕТОК САКУРЫ»,"КЛК «Превосходные кошки», ВФЦ Астра;"
20-21 октября 2012г.,«ОСЕННИЕ РИНГИ ICU»,"Клуб Любителей Кошек ""Funny Cat Club"";"
20-21 октября 2012г.,«MRAMUR CAT»,Клуба любителей кошек «МРАМУР»;
20-21 октября 2012г.,«МЕЖДУНАРОДНАЯ ВЫСТАВКА КОШЕК»,"КЛК ""Оскар"" КЛК ""Ирбис"";"
14 октября 2012г.,«Осенняя Поэзия»,КЛК СейМур;
13-14 октября 2012г.,«Kot Da Vinci - 5»,МФЦ «Фелис»;
13-14 октября 2012г.,«ОСЕНЬ ГЛАЗАМИ КОШКИ»,"Клуб любителей кошек ""Фэнси Кэт"";"
13-14 октября 2012г.,«СУПЕР КУБОК СИБИРИ - 2012»,ФПЦ «ZOOSTAR»;
13-14 октября 2012г.,«ЗОЛОТАЯ ОСЕНЬ»,"клуб ""КЭТТИ"";"
13-14 октября 2012г.,«Сats Stars 2012»,"КЛК ""Олимпи К"";"
13-14 октября 2012г.,«ЗОЛОТАЯ КОШКА»,КЛК «Комильфо» ;
6-7 октября 2012г.,«ЮБИЛЕЙНАЯ ОСЕННЯЯ ВЫСТАВКА АФЦ ПЛАНЕТА КОШЕК»,АФЦ Планета кошек;
6-7 октября 2012г.,«ПАН  КОЦЬКИЙ»,Племенной    фелинологический центр    “ПАН  КОЦЬКИЙ”;
6-7 октября 2012г.,«Экспокот 2012»,"ЗАО «Валта Пет Продактс», а также ведущие российские клубы: РФОО «Коргоруши»,КЛК « MystiCat», ОФО «Фрея», КЛК «Ника Центр», Клуб JetCat, клуб «Бастет»;"
6-7 октября 2012г.,«Сезон В Джунглях»,КЛК БАГИРА;
6-7 октября 2012г.,«КУБОК ЧЕРНОГО МОРЯ»,Не указано
6-7 октября 2012г.,«AURORA CAT CLUB»,Aurora Cat Club;
6-7 октября 2012г.,«ЭЛИТ  ШОУ  2012»,"Клуб Любителей Кошек ""Элит"";"
29-30 сентября 2012г.,«КУБОК БЕЛОГО ГОРОДА»,"Клуб Любителей Кошек ""Кошки Белогорья"";"
29-30 сентября 2012г.,«АМУР-ГЛАМУРР»,"КЛК ""ГЛОРИЯ"";"
29-30 сентября 2012г.,«Котомир-шоу 2012 »,Новосибирский Клуб Любителей Кошек «Котомир»;
29-30 сентября 2012г.,«ЗОЛОТАЯ КОШКА»,Элитар-клуб;
29-30 сентября 2012г.,«Бархатный Сезон - 2012»,ЗЦ Гарфилд;
22-23 сентября 2012г.,«ФЕЛИНОЛОГ»,"Белорусская ассоциация любителей кошек ""Фелинолог"";"
22-23 сентября 2012г.,«ОСЕННИЙ КЭТ-САЛОН»,"Клуб любителей кошек ""Москва"";"
22-23 сентября 2012г.,«MOONCAT»,"Латвийская ассоциация любителей кошек ""Mooncat"";"
22-23 сентября 2012г.,«ЗОЛОТОЙ ЛИСТОПАД»,Клуб Любителей Кошек «Самарская Лука»;
22 сентября 2012г.,«ВЫЧЕГОДСКИЕ ЗОРИ. КУБОК ROYAL CANIN»,"Клуб любителей кошек ""KomiNet"";"
22 сентября 2012г.,«ОСЕННИЙ КОТОПРИЗЫВ»,ФЛК Идеальный мир ;
15-16 сентября 2012г.,«КУБОК HILL'S»,Донецкий фелинологический племенной центр «Лунный кот»;
15-16 сентября 2012г.,«МЕЖДУНАРОДНЫЙ ЧЕМПИОНАТ ПОРОДИСТЫХ КОШЕК»,Фелинологический Альянс Украины ;
15 сентября 2012г.,«ИРБИС»,Клуб  «ИРБИС»;
15-16 сентября 2012г.,«KUSA CATS SHOW-2012»,КЛК «Созвездие друзей» Челябинск;
15-16 сентября 2012г.,«IX ПЕТЕРБУРГСКИЙ МЕЖДУНАРОДНЫЙ БЕБИ-САЛОН»,ОЛК «Эйлур» и КЛК «Приорат»;
15-16 сентября 2012г.,«БАРХАТНЫЙ БОМОНД В ОЛИМПИЙСКОМ СОЧИ»,"КЛК  ""ДИАМАНТ-КРИСТАЛЛ"" ;"
15-16 сентября 2012г.,«Осенний Марафон»,"КЛК ""Фаворит Лайн"", СЛЖ ""Крафт"";"
15-16 сентября 2012г.,«МЕЖДУНАРОДНЫЙ ЧЕМПИОНАТ MASTER CAT»,Фелинологический племенной клуб «СУЗИРЬЯ»;
15 сентября 2012г.,«ОСЕННИЙ АЛЬЯНС»,"луб любителей животных «Ашера», клуб Фауна;"
9 сентября 2012г.,«ПЕРВЫЙ ОТКРЫТЫЙ ЧЕМПИОНАТ ДАЛЬНЕГО ВОСТОКА»,Кис-Кис;
8-9 сентября 2012г.,"«С ДНЕМ РОЖДЕНИЯ, ЛЮБИМЫЙ ГОРОД!»",Фелинологический Центр “Зоомир”;
8-9 сентября 2012г.,«Кубок Фаворита»,"Федерация Заводчиков  ""ФАВОРИТ"" (Подклуб Элитар-Клуба) ;"
8-9 сентября 2012г.,«Осенние Салюты»,Best BY Cats;
8-9 сентября 2012г.,«Прайд»,"ПФЦ ""Прайд"";"
8 сентября 2012г.,«Блюз Падающих Листьев»,"КЛК ""Sofi"" ;"
8-9 сентября 2012г.,«Открытый Кубок Престижа (осень 2012)»,"пятигорский клуб любителей кошек ""ПРЕСТИЖ"" ;"
8-9 сентября 2012г.,«КОТОВАСИЯ 2012»,"Санкт-Петербургская общественная организация ""Клуб любителей кошек «Бастет»"" ;"
1 сентября 2012г.,«Парад Звёзд - 2012»,"CHATTE NOIR Club, в содружестве с Международным Альянсом Фелинологов ""СуперКэтс"" (ASC);"
1-2 сентября 2012г.,«Первоклассный Кот»,Валенсия;
25 августа 2012г.,«Августейший Кот»,Кэт Стронг;
25-26 августа 2012г.,«Сезон Русской Кошки»,Объединение любителей сибирских кошек ;
25-26 августа 2012г.,«Кубок Новороссийска - 2012»,"ФЦ «Гарфильд», Кубанский краевой клуб любителей кошек «Кэт Лэнд Юг»;"
25-26 августа 2012г.,«Парад Пород Кошек»,КЛК «Чеширский Кот»;
25-26 августа 2012г.,«Замурчательные Кошки»,Клуб Любителей Кошек «Плескава»;
25-26 августа 2012г.,«Прощай Каникулы»,АКЛК &quot;Котофей&quot;;
18-19 августа 2012г.,«Городские Кошки»,"КЛК ""ПРОСТО КОШКИ"";"
18-19 августа 2012г.,«Лето И Кошки - 2012»,ОМСКИЙ ГОРОДСКОЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «БАГИРА»;
18-19 августа 2012г.,«Летний Альянс-2012»,Альянс;
18-19 августа 2012г.,«Вальс Цветов»,Ульяновский Клуб Любителей кошек «ГлаМурр»;
18-19 августа 2012г.,«Кубок Солнца»,ДРПФЦ «АЛИСА»;
11-12 августа 2012г.,«Кубок Альметьевска»,"Фелинологический центр ""Богема"";"
11-12 августа 2012г.,«Кошачий Мир»,Кемеровский клуб любителей кошек «Кошачий мир»;
11-12 августа 2012г.,«Фауна»,КЛК ФАУНА;
11-12 августа 2012г.,«Кубок Симферополя»,"КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""АМУР"";"
4 августа 2012г.,"«""дружеские Встречи""»",Топ Лайн;
4-5 августа 2012г.,«Нефтекот - Ii»,"МФЦ ""АК БАРС"";"
4-5 августа 2012г.,«Кошачьи Ассамблеи - Кубок Гатчины - 2012»,"Клуб ""Эйлур"";"
28-29 июля 2012г.,«Вот Оно Какое Наше Лето...»,"Клуб любителей кошек ""Магия кошек"";"
28 июля 2012г.,«Уральский Гламурр»,Светлана Абинякина;
28-29 июля 2012г.,"«""кубок Стаут - 4 Сезона"" + ""лето - 2012""»","КЛК""АРКТУР""/""КОТОФЕЙ"";"
21-22 июля 2012г.,«Кубок Моря»,"КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""АМУР"";"
15 июля 2012г.,«Выставка Кошек На Свежем Воздухе»,АКЛК Котофей;
14-15 июля 2012г.,«Цветок Сакуры Лето»,"КЛК ""Превосходные кошки"" ВФЦ Астра;"
14-15 июля 2012г.,«Кубок Тюмени»,"Фелинологический центр "" Модные Кошки"";"
14-15 июля 2012г.,«Кубок Моря»,СОО ФАУ Амур;
13-15 июля 2012г.,«Кошачий Бомонд В Ялте»,ДРПФЦ «АЛИСА»;
7 июля 2012г.,«Семинар Шоу»,"клуб ""Паллада"";"
7-8 июля 2012г.,«Азовская Жемчужина-2012»,ILCF Lucky Star;
7-8 июля 2012г.,«Встречи На Оби - 2012 »,НОВОСИБИРСКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОМИР»;
7-8 июля 2012г.,«Рифей. Граница Континентов»,ФК «РИФЕЙ»;
7-8 июля 2012г.,«Кубок Невы»,ФелиСити;
7-8 июля 2012г.,«Фавориты Лета 2012»,КЛК Элит;
1 июля 2012г.,«»,"ФЦ ""Сараби"";"
30 июня - 1 июля 2012г.,«Орден Серебряной Кошки»,"ЦКФ ""Зоосфера;"
30 июня - 1 июля 2012г.,«Кошка В Золотой Долине-2012»,"МГООЛЖиР Гелиос, УРОФО Грация;"
30 июня - 1 июля 2012г.,"«""кошка В Золотой Долине-2012""»","МГООЛЖиР""Гелиос"";"
30 июня 2012г.,«Katten-kabinet - 7»,"ООО «Элитар Клуб» , УРОФО «Грация», ФЦ «Яшма»;"
30 июня - 1 июля 2012г.,«Морские Котики»,КЛК «Чеширский Кот»;
30 июня - 1 июля 2012г.,«Кубок Херсонеса»,"MASTER RING ZC Garfield, VET-CLUB;"
23-24 июня 2012г.,«Кошки И Город»,Королевская династия ;
10-11 июня 2012г.,«Summer Cat's Show»,Veritas-Cats (Alisa-Best);
10-12 июня 2012г.,«Алые Паруса»,КЛК Фелисити;
10 июня 2012г.,«Кошки Всего Мира»,Элитар-клуб;
10-11 июня 2012г.,«Диамант-кристалл»,"КЛК ""ДИАМАНТ-КРИСТАЛЛ"";"
9-10 июня 2012г.,«Летний Альянс-2012»,"ФК ""Альянс"";"
9-10 июня 2012г.,«Кубок Нутрам»,КЛК Фелисити;
8-10 июня 2012г.,«Летние Встречи - 2012»,"ЖОЦФЛ Vibriss, ВППК Gato Dorado;"
2-3 июня 2012г.,«Кубок Корстона»,Клуб Любителей Кошек Престиж;
2-3 июня 2012г.,«Элита Сибири»,"КЛК ""Элита Сибири"";"
2-3 июня 2012г.,«Бомонд Кошек-2012»,"ЗООМИР, Элитар клуб;"
2-3 июня 2012г.,«Xv Открытый Чемпионат Украины - Rui Cat Show»,Одесская ассоциация любителей кошек;
26-27 мая 2012г.,«Фаворит-шоу»,"""ФАВОРИТ"";"
26-27 мая 2012г.,«Xxviii-xxix Международная Выставка Кошек»,Украинское Фелинологическое  Объединение;
26-27 мая 2012г.,«Summer Cat Summit 2012»,БФЦ Фелита;
26-27 мая 2012г.,«Весенний Альянс-2012»,Фелинологический Клуб Альянс;
26-27 мая 2012г.,«Инфокот’2012»,Клуб CRYSTAL;
26-27 мая 2012г.,«Фелиссента»,Фелинологический центр «Фелиссента»;
26-27 мая 2012г.,«Catfashion»,"КЛК ""Алиса-Бест"";"
19-20 мая 2012г.,«Миллион Друзей»,"Курский клуб любителей кошек ""Баст"";"
19-20 мая 2012г.,«Forest Cat Show 2012 »,Не указано
19-20 мая 2012г.,«Новая Весна»,КЛК Фаворит-Лайн;
19 мая 2012г.,«Котофей+эльмур»,"АКЛК ""Котофей"", КЛЖ ""ЭльМур"";"
13 мая 2012г.,«Ласковый Май»,"КЛК ""Менуэт"";"
13 мая 2012г.,«Кубок Москвы»,Созвездие;
13 мая 2012г.,«Happy Birthday»,Фелинологический Племенной Центр «ЦАРСТВО КОШЕК»;
13 мая 2012г.,«Мяу! Май!»,"КЛК ""Бисер"";"
12-13 мая 2012г.,«Кубок Криворожья»,"Криворожский ФПЦ ""БАФФИ"";"
7-8 мая 2012г.,«Цветок Сакуры»,"КЛК ""Превосходные кошки"";"
7-9 мая 2012г.,«Весенний Кубок Престижа-2012»,КЛК Престиж;
6 мая 2012г.,«Открытый Чемпионат Сибири 2012 Года»,ФЛК Идеальный мир;
5-6 мая 2012г.,«Котофей+Каспийский Кот»,"КЛК Котофей, ФК Каспийский Кот;"
5-6 мая 2012г.,«Москва»,КЛК МОСКВА;
5-6 мая 2012г.,«Суперкэтс В Турции»,"SC-Turkey, ASC;"
30 апреля - 1 мая 2012г.,«Созвездие»,клк «СОЗВЕЗДИЕ»;
30 апреля - 1 мая 2012г.,«Сибириада 2012»,"КЛК ""Котомир"";"
29-30 апреля 2012г.,«Мяу-ревю 2012»,"КЛК ""MystiCat"";"
29-30 апреля 2012г.,«Кошачий Вальс»,"ПФЦ ""Прайд"";"
29 апреля 2012г.,«Удивительные Кошки»,Региональный кинолого-фелинологический центр «Гранд+»;
28-29 апреля 2012г.,«Весенний Таллин 2012»,SELENA TIGER ;
21-22 апреля 2012г.,«Лучший Весенний Кот России - 2012»,Валенсия;
21-22 апреля 2012г.,«Континет-шоу - 2012»,клк «БАГИРА»;
21-22 апреля 2012г.,«Императорский Раунд»,"КЛК ""Империя кошек"";"
21-22 апреля 2012г.,«Mramur Cat»,Мрамур;
